"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10374970, SEN S/N: 10213640)","RH, % (LGR S/N: 10374970, SEN S/N: 10213640)","DewPt, °C (LGR S/N: 10374970, SEN S/N: 10213640)","Wetness, % (LGR S/N: 10374970, SEN S/N: 10314899)","Voltage, V (LGR S/N: 10374970, SEN S/N: 10348607)","Current, mA (LGR S/N: 10374970, SEN S/N: 10348607)","Temp, °C (LGR S/N: 10374970, SEN S/N: 10365542, LBL: 5 cm deep)","Temp, °C (LGR S/N: 10374970, SEN S/N: 10365548, LBL: 1 cm deep)","Water Content, m³/m³ (LGR S/N: 10374970, SEN S/N: 10374522)","Solar Radiation, W/m² (LGR S/N: 10374970, SEN S/N: 10378946)","Batt, V (LGR S/N: 10374970)"
1,2014-11-21 12:20:00,20.412,57.000,11.6,1.76,-0.2039,0.0000,18.200,18.937,0.0844,559.4,4.381
2,2014-11-21 12:25:00,21.103,55.600,11.9,1.76,-0.2039,0.0000,18.366,19.199,0.0850,564.4,4.333
3,2014-11-21 12:30:00,20.913,55.800,11.8,1.76,-0.2039,0.0000,18.557,19.484,0.0857,566.9,4.321
4,2014-11-21 12:35:00,20.627,54.400,11.1,1.76,-0.2039,0.0000,18.723,19.722,0.0857,570.6,4.339
5,2014-11-21 12:40:00,21.318,54.600,11.8,1.76,-0.2039,0.0000,18.913,19.984,0.0857,571.9,4.400
6,2014-11-21 12:45:00,22.537,52.600,12.4,1.76,-0.2039,0.0000,19.103,20.222,0.0857,573.1,4.351
7,2014-11-21 12:50:00,21.127,49.900,10.3,1.76,-0.2039,0.0000,19.270,20.460,0.0857,571.9,4.321
8,2014-11-21 12:55:00,20.960,51.000,10.5,1.76,-0.2039,0.0000,19.436,20.674,0.0863,573.1,4.333
9,2014-11-21 13:00:00,21.867,50.600,11.2,1.76,-0.2039,0.0000,19.627,20.889,0.0863,571.9,4.400
10,2014-11-21 13:05:00,23.208,50.600,12.4,1.76,-0.2039,0.0000,19.770,21.079,0.0863,564.4,4.430
11,2014-11-21 13:10:00,23.256,49.800,12.2,1.76,-0.2039,0.0000,19.936,21.270,0.0869,563.1,4.333
12,2014-11-21 13:15:00,22.776,47.500,11.1,1.76,-0.2039,0.0000,20.079,21.461,0.0869,564.4,4.321
13,2014-11-21 13:20:00,22.321,48.300,10.9,1.76,-0.2039,0.0000,20.246,21.676,0.0875,560.6,4.363
14,2014-11-21 13:25:00,22.729,48.000,11.2,1.76,-0.2039,0.0000,20.388,21.867,0.0875,553.1,4.400
15,2014-11-21 13:30:00,23.064,46.800,11.1,1.76,-0.2039,0.0000,20.555,22.058,0.0875,553.1,4.339
16,2014-11-21 13:35:00,23.232,46.800,11.2,1.76,-0.2039,0.0000,20.698,22.250,0.0875,544.4,4.339
17,2014-11-21 13:40:00,23.376,46.700,11.3,1.76,-0.2039,0.0000,20.841,22.441,0.0875,541.9,4.393
18,2014-11-21 13:45:00,23.785,45.500,11.3,1.76,-0.2039,0.0000,20.984,22.609,0.0881,545.6,4.375
19,2014-11-21 13:50:00,23.280,45.700,10.9,1.76,-0.2039,0.0000,21.103,22.776,0.0881,536.9,4.345
