"#","Date Time, GMT-08:00","Wetness, % (LGR S/N: 10384932, SEN S/N: 10314900)","Temp, °C (LGR S/N: 10384932, SEN S/N: 10359308)","RH, % (LGR S/N: 10384932, SEN S/N: 10359308)","DewPt, °C (LGR S/N: 10384932, SEN S/N: 10359308)","Voltage, V (LGR S/N: 10384932, SEN S/N: 10363598)","Current, mA (LGR S/N: 10384932, SEN S/N: 10363598)","Temp, °C (LGR S/N: 10384932, SEN S/N: 10365541, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10384932, SEN S/N: 10365546, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10384932, SEN S/N: 10374508)","Solar Radiation, W/m² (LGR S/N: 10384932, SEN S/N: 10375644)","Batt, V (LGR S/N: 10384932)"
1,2014-12-06 09:55:00,4.71,19.722,76.400,15.5,-0.2039,0.0000,16.463,16.249,0.3048,375.6,4.182
2,2014-12-06 10:00:00,4.71,19.008,76.400,14.8,-0.2039,0.0000,16.439,16.272,0.3062,49.4,4.188
3,2014-12-06 10:05:00,5.29,18.842,76.500,14.6,-0.2039,0.0000,16.415,16.296,0.3051,50.6,4.188
4,2014-12-06 10:10:00,4.71,18.842,76.300,14.6,-0.2039,0.0000,16.415,16.320,0.3040,71.9,4.188
5,2014-12-06 10:15:00,4.71,19.341,75.500,14.9,-0.2039,0.0000,16.415,16.344,0.3026,171.9,4.188
6,2014-12-06 10:20:00,4.71,19.674,74.800,15.1,-0.2039,0.0000,16.439,16.368,0.3015,446.9,4.188
7,2014-12-06 10:25:00,4.71,19.936,73.900,15.2,-0.2039,0.0000,16.463,16.368,0.3011,449.4,4.188
8,2014-12-06 10:30:00,4.71,20.126,72.800,15.1,-0.2039,0.0000,16.463,16.392,0.3008,329.4,4.188
9,2014-12-06 10:35:00,4.71,20.531,72.000,15.3,-0.2039,0.0000,16.511,16.415,0.3001,246.9,4.188
10,2014-12-06 10:40:00,4.71,20.055,71.500,14.8,-0.2039,0.0000,16.534,16.439,0.2994,385.6,4.188
11,2014-12-06 10:45:00,4.12,19.318,72.100,14.2,-0.2039,0.0000,16.558,16.463,0.2994,213.1,4.188
12,2014-12-06 10:50:00,4.12,19.199,72.400,14.1,-0.2039,0.0000,16.582,16.487,0.2987,468.1,4.194
13,2014-12-06 10:55:00,4.12,19.318,72.700,14.3,-0.2039,0.0000,16.606,16.511,0.2990,99.4,4.188
14,2014-12-06 11:00:00,4.12,19.389,72.300,14.3,-0.2039,0.0000,16.654,16.534,0.2987,366.9,4.188
15,2014-12-06 11:05:00,4.12,19.508,72.600,14.5,-0.2039,0.0000,16.654,16.558,0.2984,51.9,4.188
16,2014-12-06 11:10:00,4.12,19.579,72.000,14.4,-0.2039,0.0000,16.701,16.582,0.2979,49.4,4.188
17,2014-12-06 11:15:00,4.12,19.413,71.200,14.1,-0.2039,0.0000,16.725,16.606,0.2984,60.6,4.188
18,2014-12-06 11:20:00,4.12,19.508,71.100,14.2,-0.2039,0.0000,16.749,16.630,0.2976,46.9,4.188
19,2014-12-06 11:25:00,4.12,19.817,71.100,14.4,-0.2039,0.0000,16.749,16.654,0.2973,53.1,4.188
20,2014-12-06 11:30:00,4.12,19.912,70.400,14.4,-0.2039,0.0000,16.773,16.677,0.2973,43.1,4.194
21,2014-12-06 11:35:00,4.12,19.936,69.900,14.3,-0.2039,0.0000,16.796,16.701,0.2976,75.6,4.194
22,2014-12-06 11:40:00,4.12,19.722,69.500,14.0,-0.2039,0.0000,16.820,16.725,0.2973,39.4,4.206
23,2014-12-06 11:45:00,4.12,20.079,69.300,14.3,-0.2039,0.0000,16.844,16.725,0.2970,44.4,4.224
24,2014-12-06 11:50:00,4.12,20.246,68.500,14.3,-0.2039,0.0000,16.868,16.773,0.2966,39.4,4.194
25,2014-12-06 11:55:00,4.12,20.198,68.300,14.2,-0.2039,0.0000,16.868,16.773,0.2973,35.6,4.200
26,2014-12-06 12:00:00,4.12,20.365,68.500,14.4,-0.2039,0.0000,16.892,16.773,0.2970,35.6,4.200
27,2014-12-06 12:05:00,4.12,20.412,68.200,14.4,-0.2039,0.0000,16.915,16.796,0.2966,33.1,4.224
28,2014-12-06 12:10:00,4.12,20.412,68.100,14.4,-0.2039,0.0000,16.915,16.820,0.2963,33.1,4.200
29,2014-12-06 12:15:00,4.12,20.436,67.900,14.3,-0.2039,0.0000,16.939,16.820,0.2966,33.1,4.194
30,2014-12-06 12:20:00,4.12,20.674,68.100,14.6,-0.2039,0.0000,16.939,16.844,0.2966,31.9,4.200
31,2014-12-06 12:25:00,4.12,20.889,67.500,14.7,-0.2039,0.0000,16.963,16.868,0.2963,28.1,4.194
32,2014-12-06 12:30:00,4.12,20.698,66.400,14.2,-0.2039,0.0000,16.963,16.868,0.2959,30.6,4.200
33,2014-12-06 12:35:00,4.12,20.936,67.700,14.8,-0.2039,0.0000,16.987,16.892,0.2963,28.1,4.200
34,2014-12-06 12:40:00,4.12,20.865,68.100,14.8,-0.2039,0.0000,16.987,16.892,0.2963,28.1,4.188
35,2014-12-06 12:45:00,4.12,20.841,68.000,14.7,-0.2039,0.0000,17.011,16.915,0.2959,29.4,4.188
36,2014-12-06 12:50:00,4.12,20.722,67.800,14.6,-0.2039,0.0000,17.034,16.939,0.2959,25.6,4.188
37,2014-12-06 12:55:00,4.12,20.650,67.300,14.4,-0.2039,0.0000,17.034,16.939,0.2963,25.6,4.188
