"#","Date Time, GMT-08:00","Voltage, V (LGR S/N: 10221050, SEN S/N: 10200857)","Current, mA (LGR S/N: 10221050, SEN S/N: 10200857)","Temp, °C (LGR S/N: 10221050, SEN S/N: 10213636)","RH, % (LGR S/N: 10221050, SEN S/N: 10213636)","DewPt, °C (LGR S/N: 10221050, SEN S/N: 10213636)","Temp, °C (LGR S/N: 10221050, SEN S/N: 10365531, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10221050, SEN S/N: 10365588, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10221050, SEN S/N: 10374515)","Wetness, % (LGR S/N: 10221050, SEN S/N: 10374901)","Solar Radiation, W/m² (LGR S/N: 10221050, SEN S/N: 10375649)"
1,2014-11-21 11:55:00,-0.2039,0.0000,21.032,50.100,10.3,27.974,28.468,0.0614,0.00,210.6
2,2014-11-21 12:00:00,-0.2039,0.0000,21.270,51.200,10.8,31.816,27.727,0.0614,0.00,64.4
3,2014-11-21 12:05:00,-0.2039,0.0000,21.604,49.000,10.5,35.422,27.136,0.0621,0.00,164.4
4,2014-11-21 12:10:00,-0.2039,0.0000,20.936,51.900,10.7,31.255,26.720,0.0621,0.00,119.4
5,2014-11-21 12:15:00,-0.2039,0.0000,20.698,52.900,10.8,34.916,25.963,0.0621,0.00,488.1
6,2014-11-21 12:20:00,-0.2039,0.0000,21.342,51.200,10.9,32.768,25.307,0.0621,0.00,503.1
7,2014-11-21 12:25:00,-0.2039,0.0000,21.294,50.400,10.6,31.153,25.113,0.0628,0.00,366.9
8,2014-11-21 12:30:00,-0.2039,0.0000,21.652,50.500,10.9,30.091,24.653,0.0628,0.00,31.9
9,2014-11-21 12:35:00,-0.2039,0.0000,21.867,50.100,11.0,27.974,24.267,0.0628,0.00,29.4
10,2014-11-21 12:40:00,-0.2039,0.0000,21.581,50.000,10.7,26.231,23.689,0.0621,0.00,26.9
11,2014-11-21 12:45:00,-0.2039,0.0000,21.079,50.400,10.4,24.871,23.112,0.0621,0.00,23.1
12,2014-11-21 12:50:00,-0.2039,0.0000,20.793,49.100,9.7,24.677,22.705,0.0614,0.00,21.9
13,2014-11-21 12:55:00,-0.2039,0.0000,20.341,50.000,9.6,23.617,22.321,0.0599,0.00,21.9
14,2014-11-21 13:00:00,-0.2039,0.0000,20.269,51.800,10.1,23.352,22.034,0.0599,0.00,23.1
15,2014-11-21 13:05:00,-0.2039,0.0000,20.770,50.000,10.0,22.872,21.772,0.0596,0.00,23.1
16,2014-11-21 13:10:00,-0.1988,0.0000,20.770,49.900,10.0,22.705,21.509,0.0596,0.00,25.6
17,2014-11-21 13:15:00,-0.1988,0.0000,20.817,48.800,9.7,22.944,21.342,0.0588,0.00,26.9
18,2014-11-21 13:20:00,-0.1988,0.0000,20.984,48.400,9.7,22.753,21.246,0.0581,0.00,28.1
